富樫泰高||加賀守護をめぐる抗争、半国分治、一向一揆後の再擁立を評価する。晩年の実権には制約があった。1504年以前の死去とされ、1546年の出仕対象を意味しない。|M:24:在地勢力を組織して守護職を争ったが支配は分裂。;P:22:加賀の長期抗争への参戦を地域主力の標準遂行とする。;M:23:幕府有力者との連携で復帰した一方、一揆側の制約を受けた。;M:23:半国分治と守護職の運営を担うが全域支配は安定しなかった。;N:12:富樫泰高について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
中野一安||名古屋市資料では中野重吉・又兵衛と同定され、小豆坂七本槍の一人で弓衆を率いたとされる。資料中の元号表記に誤記があり、個別年代は再照合が必要。|P:22:弓衆を束ねた任務を戦場での部隊運用として評価。;A:24:小豆坂での功名を部隊の働きとして採るが軍記的伝承の留保を付す。;N:12:中野一安について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:中野一安について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:中野一安について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
国富貞次||岡山県立図書館の調査は宇喜多家臣・城主としての人物像を紹介する一方、貞次と頼資の諱の違いを未解決としている。八浜七本槍の働きは集団戦果として参照。|P:22:宇喜多軍の現場指揮を担った範囲で標準的な部隊運用とする。;A:24:八浜で追撃を抑えた集団戦果への寄与。単独の戦功とはしない。;N:12:国富貞次について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:20:比丘尼山城主としての地域運営を標準遂行とする。;N:12:国富貞次について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
稲葉通則||牧田で土岐頼芸の救援に向かい、主君を退避させた後に戦死したと伝わる。稲葉良通の後年の実績は加算しない。|P:22:牧田の救援部隊を動かした役割を評価。;M:23:救援目的の達成と部隊の大きな損耗を併せて評価。;N:12:稲葉通則について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:稲葉通則について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:稲葉通則について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
高梨澄頼||政盛没後に家督を継ぎ長尾方に立ったが、周囲の敵対勢力と村上氏の圧迫で勢力が後退。政頼期の回復を本人の功績にしない。1523年没説。|F:6:参照した軍事経過では勢力後退が中心で回復の実績は本人に帰せない。;N:12:高梨澄頼について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;F:6:長尾方との連携が本人の代の勢力維持に結び付かなかった。;P:21:高梨領の当主としての運営を担った範囲を評価。;N:12:高梨澄頼について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
足利基頼||古河公方家の対立で常陸・下総に活動し、出陣要請も行った。1538年の第一次国府台合戦で戦死。軍全体の敗北を個人の失策とは断定しない。|P:23:諸勢力への出陣要請と地域軍事行動を評価。;P:22:行方方面・国府台の参戦を重要戦域での標準遂行とする。;M:20:複数勢力との提携で活動を続けたが公方家の抗争を収束できなかった。;N:12:足利基頼について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:足利基頼について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
三浦高救||三浦家を継ぎ、扇谷上杉家の抗争に関わったが追放を受けたとされる。義同による家督奪還を本人の単独成果にしない。15世紀後半の活動を対象とする。|N:12:三浦高救について大軍の編成・維持を示す本人の材料が不足。成否材料なしの暫定値。;N:12:三浦高救について直接指揮した部隊の成否を示す材料が不足。成否材料なしの暫定値。;F:6:参照範囲では上杉家への政治介入が追放という失敗に終わる。;P:22:三浦家当主としての運営を担った範囲を標準遂行とする。;N:12:三浦高救について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
小早川弘平||船岡山参戦、沼田小早川家の後見、国人盟約への署名を評価。家督継承年と生年関係には留保があり、生涯の暫定評価とする。|P:23:竹原勢を率いる立場で畿内の戦役に参加。;P:22:船岡山での参戦を主要戦域での標準遂行とする。;A:25:惣領家の所領を奪わず後見し、両家融和と国人盟約を進めた。;A:24:幼少当主の後見と所領維持を具体的な家政上の成果として評価。;N:12:小早川弘平について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
祁答院重武||帖佐・山田の攻略と領有、島津勝久支援を評価。鹿児島方面では一時勝利の後に敗退し重臣を失った。1538年没。|M:24:複数拠点を攻略する軍事運用と鹿児島での損耗を併記。;M:25:帖佐・山田攻略や滑川の戦果がある一方、援軍に敗退した。;M:21:勝久支援の地域連携は行ったが勢力拡張を安定させきれなかった。;P:22:獲得領地を含む祁答院領の統治を担った。;N:12:祁答院重武について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
本多俊正 (戦国時代)||清康・広忠への奉公と、元康期の三河での出陣を参照する。本多正信の外交政治力を父に転用しない。家譜と後世の戦記の照合を残す。|P:21:三河の反乱討伐に従う在地部隊の運用を評価。;P:21:東広瀬方面などの出陣を標準的な軍役遂行とする。;N:12:本多俊正 (戦国時代)について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;P:17:鷹匠としての近侍実務を限定的に評価し領国経営と区別。;N:12:本多俊正 (戦国時代)について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
本多助豊||松平長親の命で榊原清長と先鋒を務め、敵を退けたと伝わる。忠豊・忠勝の功績は加えず、家譜上の軍役としての評価。|P:21:先鋒の任務を担う部隊運用を評価。;A:23:先鋒としての撃退戦果を限定的に評価。;N:12:本多助豊について本人の外交・戦略上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:本多助豊について本人の統治・政策上の成否を示す材料が不足。成否材料なしの暫定値。;N:12:本多助豊について配下の定着・登用人材の活用を示す材料が不足。成否材料なしの暫定値。
