# 人物|所属家IDまたは-|立場|推定地域|登録父照合名または-|根拠と留保
三木国綱|-|元服前|飛騨国/大野郡|-|1546年生の記載を採用。水無神社神官一族という出自から一宮周辺を推定配置。後の三木姓・姉小路氏との婚姻を出生時の所属にしない。
下田直久|-|浪人|陸中国/北岩手郡|-|後年の南部氏への奉公と岩手郡下田の知行を地縁として代用。1546年の出生・奉公を確認できないため所属不明、年代保留とする。
中島可之助|-|浪人|土佐国/長岡郡|-|土佐物語に登場する元親の使者で実在にも疑問がある。後年の岡豊周辺をゲーム配置の代替地域とし、所属と年代・同定は保留。
中島正時|-|浪人|因幡国/岩井郡|-|中島氏の陸上中島城・巨濃郡の地縁を採用。現行の岩井郡表示区画への暫定配置。山名豊弘への後年の奉公は1546年へ遡及しない。
中島豊後守|-|浪人|尾張国/丹羽郡|-|犬山織田氏の小口城家老として後年に登場。小口周辺を代用し、1546年の奉公先は不明。豊後守という官途から豊後へ配置しない。
中村元勝|-|元服前|尾張国/愛知郡|-|父元利が今川氏豊に仕えて戦死後、幼少で母と東光寺に入ったという経歴を採用。年齢未詳のため幼少設定は暫定。父の未登録所属は補完しない。
中村次郎兵衛|-|浪人|播磨国/多可郡|-|父中村正祝の播磨多可郡阿賀という地縁で配置。後年の前田・宇喜多家への奉公を1546年所属にしない。
丸毛光兼|-|浪人|美濃国/安八郡|-|美濃丸毛氏・福束方面を配置の手掛かりとする。実父・養父の説が複数あり、年齢も確定しないため所属と出仕開始は保留。
乙部八兵衛|-|元服前|三河国/額田郡|-|1533年頃生という紹介と後年の野場城の地縁を採用。1546年の元服は確認できず元服前を暫定設定。後年の松平家への仕官は遡及しない。
二見密蔵院|-|浪人|大和国/宇智郡|-|二見郷の武士として知られるが1546年所属は未詳。僧号を持つ人物の史実身分は留保し、指定された5区分では未所属の浪人に整理。
井上大九郎|-|浪人|播磨国/美嚢郡|-|後年の三木別所家への奉公から播磨を代替配置とする。三木合戦時の所属を1546年の所属とは扱わない。
仲井市之進|-|浪人|播磨国/*|-|保存された紹介で確認できる播磨国の武将という情報のみを配置に使用。具体的な城・郡・1546年の奉公先は不明で、郡は国の範囲内の代替設定。
佐世元嘉|-|元服前|出雲国/大原郡|佐世清宗|1546年に佐世清宗の子として生まれたとの記載を採用。佐世の地縁で配置し、父が登録済みかつ所属判明の場合のみ継承する。
佐久間信晴|-|浪人|尾張国/愛知郡|-|佐久間盛通の子・信盛の父という系譜から尾張佐久間氏の地縁を代用。子の後年の奉公先を父の1546年所属にしない。
佐竹義喬|-|浪人|常陸国/久慈郡|-|東佐竹家での後年の家督相続が知られるが1546年の本人の立場は未詳。常陸佐竹氏の本拠圏を代用し、家督取得年を遡らせない。
佐野秀綱|sano|大名|下野国/安蘇郡|-|1527年の佐野家継承と唐沢山の領主としての記録を根拠に佐野家当主を設定。没年・1546年内の活動時点には留保を残す。
出浦盛清|-|元服前|信濃国/埴科郡|出浦清種|1546年生の記載と埴科郡出浦の出自を採用。村上氏没落後の武田奉公を出生時所属にしない。登録父の所属のみ継承対象。
初鹿野信昌|-|元服前|甲斐国/*|加藤虎景|加藤虎景の子で、没年齢に基づく1541年・1544年生説から元服前とする。初鹿野家相続は1561年以降。配置は甲斐の仮区画を使う暫定設定。
前田利春|oda_nobuhide|武将|尾張国/愛知郡|-|荒子を本拠とし、林秀貞の与力として織田家に仕えた経歴から信秀系を暫定採用。奉公開始の厳密な年月は未確定で、領地全域の所有認定ではない。
