# 人物|所属家IDまたは-|立場|推定地域|登録父照合名または-|判断根拠・留保
木脇祐光|-|浪人|薩摩国/日置郡|-|父の代の伊集院恋之原の地縁を使用。同名の木脇閑菴とは区別し、1569年の島津家中の記録を1546年所属へ遡及しない。
本多光忠|-|浪人|三河国/宝飯郡|-|伊奈の墓所と1560年以降の松平家中での活動を地域の手掛かりにする。当年の奉公は未確認。
杉原定利|-|浪人|尾張国/*|-|尾張杉原氏の地縁を代替配置に使用。後年の信長・秀吉への奉公や子女の婚姻から当年の所属を補わない。
杉原家次|-|浪人|尾張国/*|-|尾張生まれ・前歴は商人とする紹介を採用。秀吉の家老となる前の身分を確定できず、指定5区分では未所属の浪人とする。
杉浦重勝|-|浪人|美濃国/羽栗郡|-|後年の竹ヶ鼻城主という活動圏を代替配置に使用。信長旧臣という情報だけでは1546年所属は定まらない。
東頼兼|-|元服前|肥後国/葦北郡|岡本頼春|1552年または1550年の父暗殺時に15歳という記載から1546年は元服前と推定。朴河内方面へ配置し、登録父の既知所属のみ継承。
松井貞宗|imagawa|武将|遠江国/*|-|1528年の今川氏輝による相続承認と1559年の所領譲渡の記述を根拠に今川家とする。息子信薫との年代上の不整合は留保。
松平乗次|-|浪人|三河国/東加茂郡|-|後年の滝脇村知行を地域の代用にする。同姓のみで安祥松平家に所属させず、1546年の奉公先は不明。
松平康忠|-|元服前|三河国/宝飯郡|松平政忠|1546年生で松平政忠の子という記載を採用。1562年元服以前の幼児とし、登録父の所属が既知の場合だけ継承。
松平忠広|-|浪人|三河国/額田郡|-|阿知和松平氏の出自を配置に使用。東条松平氏への後年の奉公と村木砦の年代には留保があり、1546年の家中は確定しない。
松平清成|-|浪人|三河国/東加茂郡|-|大給松平氏の一族という地縁を採用。父・系図上の位置に異説があり、後年の徳川家奉公を当年に当てはめない。
松平重忠|-|元服前|三河国/額田郡|松平信孝 (戦国時代)|没年齢から1540年生とする紹介を採用。父信孝と岡崎松平氏の対立を留保し、父の登録所属が既知の場合のみ継承する。
板倉重定|-|浪人|三河国/宝飯郡|-|八幡砦の地縁を採用。桶狭間後の今川方という記録は確認できるが、1546年の奉公先は未詳。
