# 名前|所属家ID（不明は-）|ゲーム立場|父所属が不明の場合の配置地域|実父の照合名|個別判断
井伊直虎|-|浪人|遠江国/引佐郡|-|井伊谷での活動と地縁を採用。生年と人物同定には議論があり、1546年の年齢・家中身分を確定せず浪人を仮設定する。
南部信直|-|元服前|陸中国/北岩手郡|石川高信|1546年出生の記事と石川高信の子という記述を採用。一方井城周辺を仮配置の根拠とし、同年内の出生前後判定は保留する。
伊東義益|-|元服前|日向国/児湯郡|伊東義祐|1546年出生、伊東義祐の子として父の登録を照合。後年の家督相続を開始時に遡らせない。
二本松家泰|nihonmatsu|大名|岩代国/安達郡|-|1542年の家督継承から当主扱いを仮設定。1546年4月の死亡記事があり、開始日の前後未確定につき出仕は保留する。
佐渡長重|-|浪人|尾張国/丹羽郡|-|後年の岩倉城での記録を地縁の代用とする。織田与三郎の同定・親族関係から1546年の家中を断定しない。佐渡の呼称を佐渡国への配置根拠にしない。
佐田九郎左衛門|-|浪人|因幡国/*|-|因幡出身の記事から推定配置。細川家・松永久秀への奉公は時期を切り分け、1546年の所属へ遡及しない。
坪内友定|-|浪人|美濃国/羽栗郡|-|坪内頼定の子、松倉周辺の家譜上の地縁を採用。川並衆に関する伝承や奉公年の未確定を残す。
坪内頼定|-|浪人|美濃国/羽栗郡|-|松倉城周辺と織田信康への奉公記事を参照。世代・年代の整合は保留し、信康没後の所属を信秀家へ機械的に付け替えない。
千葉胤宗|-|浪人|武蔵国/豊島郡|-|武蔵千葉氏と石浜周辺の活動圏を手掛かりに仮配置。父胤利の後年記事から1546年の本人の年齢や家督を確定しない。
土岐頼春|-|浪人|上総国/夷隅郡|-|万喜城を拠点とする上総土岐氏の地縁を採用。後年の対里見関係や城主身分を1546年に遡及しない。
多功建昌|utsunomiya|武将|下野国/河内郡|-|多功氏の宇都宮家中での地位から武将を仮設定。1551年米寿など高齢伝承の整合は未確定で、開始時出仕は保留する。
富田氏実|-|浪人|岩代国/北会津郡|-|会津の地縁から配置。蘆名盛氏への出仕は1572年頃とされるため、1546年の蘆名家所属とはしない。
寺尾勝右衛門|-|浪人|摂津国/西成郡|-|大坂の陣での高齢の使者という後年記録を参照。1546年の居所は不明で、大坂周辺の現行区画（西成郡）を後年の活動圏に基づく代替配置とする。年代判定は保留。
小笠原義時|-|浪人|遠江国/城東郡|-|小笠原清広の子と高天神周辺の家系上の地縁を採用。後年の徳川奉公から1546年の所属を決めない。
小西如清|-|浪人|和泉国/大鳥郡|-|小西隆佐の長男、堺代官など後年の活動圏から仮配置。父隆佐と同一人物として扱わず、後年の織田・豊臣との関係を遡及しない。
山中頼元|-|浪人|相模国/大住郡|-|1563年頃の相続と小田原衆としての相模の知行記事を地域の代用根拠とする。大住郡は本拠圏のゲーム配置で、溝上下化粧の所在地確定ではない。
山田元義|-|大名|土佐国/香美郡|-|楠目城を本拠に長宗我部氏と対立した土佐山田氏当主として大名を仮設定。1549年の楠目城記事を参照し、登録済み大名家との主従は不明のまま。年代情報の不整合は保留。
島親益|chosokabe|大名家一門|土佐国/長岡郡|-|長宗我部国親の子という系譜から一門を仮設定。生年不詳のため1546年に成人・出仕していたとは認定しない。
後藤勝基|-|浪人|美作国/英田郡|-|三星城と後藤氏の地縁から仮配置。1560年以後の尼子・浦上との関係や城主身分を1546年に遡及しない。
本多助豊|matsudaira|武将|三河国/*|-|松平長親・信忠・清康への奉公記事から松平家の武将を仮設定。古い世代で生没年未確定のため1546年の存命・出仕は保留。
上杉景勝|-|元服前|越後国/南魚沼郡|長尾政景|実父長尾政景を照合し、後年の養父上杉謙信と区別。坂戸の出生地縁を代替配置に用いる。出生年表記の1555・1556年差は今回変更しない。
上杉景虎|-|元服前|相模国/足柄下郡|北条氏康|実父北条氏康を照合。北条氏秀との同定に議論があることを残し、上杉家への養子入りを開始時に遡及しない。
中川秀成|-|元服前|摂津国/島下郡|中川清秀|実父中川清秀と茨木周辺の家の地縁を採用。豊後入封は後年であり、父所属が不明なら摂津へ仮配置。
中川秀政|-|元服前|摂津国/島下郡|中川清秀|実父中川清秀と茨木の地縁を採用。豊臣家臣としての後年所属を1546年に遡及しない。
井上之房|-|元服前|播磨国/飾東郡|井上之正|父井上之正を照合。松原の出自を仮配置の根拠とし、黒田家への後年奉公から開始時所属を補わない。
井伊直勝|-|元服前|遠江国/敷智郡|井伊直政|実父井伊直政を照合。父も今回の将来枠なので父の判定後に所属を引き継ぐ。父所属不明時の代替は浜松。
井伊直孝|-|元服前|駿河国/志太郡|井伊直政|実父井伊直政を照合。中里での出生・幼少期の地縁は父所属不明時のみ代替配置に使用。
井伊直政|-|元服前|遠江国/引佐郡|井伊直親|実父井伊直親を照合。祝田の出生地縁を採用し、後年の徳川家臣化を遡及しない。
亘理重宗|-|元服前|磐城国/亘理郡|亘理元宗|父亘理元宗と亘理の家の本拠を照合。後年の涌谷移転とは区別。
京極忠高|-|元服前|山城国/*|京極高次|実父京極高次を照合。京都での出生記事を父所属不明時の代替地域とする。
京極高広|-|元服前|山城国/紀伊郡|京極高知|実父京極高知を照合。伏見出生の地縁を代替配置に用いる。
京極高次|-|元服前|近江国/東浅井郡|京極高吉|実父京極高吉を照合。小谷城出生の地縁を採用し、浅井・織田への後年所属を遡及しない。
京極高知|-|元服前|近江国/東浅井郡|京極高吉|実父京極高吉を照合。小谷周辺の家の地縁を代替とし、出生地点の確定とはしない。
仙石忠政|-|元服前|美濃国/加茂郡|仙石秀久|実父仙石秀久を照合。父所属が不明なら父の出自である美濃黒岩周辺を代用し、本人の出生郡とは断定しない。
仙石秀久|-|元服前|美濃国/加茂郡|仙石久盛|実父仙石久盛を照合。黒岩の出自を根拠に仮配置し、豊臣家の後年の家臣化を遡及しない。
伊達定宗|-|元服前|磐城国/亘理郡|亘理重宗|実父亘理重宗を照合。伊達への改姓や涌谷移転前の家の地縁を代替配置に用いる。
伊達成実|-|元服前|岩代国/信夫郡|伊達実元|実父伊達実元を照合。大森城の出生記事を代替配置に用いる。
伊達政宗|-|元服前|羽前国/南置賜郡|伊達輝宗|実父伊達輝宗を照合。1567年米沢出生は仙台市博物館の解説でも確認。父の登録所属だけを引き継ぎ、1546年の当主とはしない。
伊達政道|-|元服前|羽前国/南置賜郡|伊達輝宗|実父伊達輝宗を照合。米沢の地縁を代替配置に用いる。
伊達秀宗|-|元服前|陸前国/柴田郡|伊達政宗|実父伊達政宗の今回の判定を引き継ぐ。村田城の出生地縁を代替とし、後年の宇和島領主化を遡及しない。
伊集院忠真|-|元服前|日向国/北諸県郡|伊集院忠棟|実父伊集院忠棟を照合。父所属不明時は後年の都城の活動圏を代替とし、出生地・1546年の居所とはしない。
佐竹義宣|-|元服前|常陸国/久慈郡|佐竹義重|実父佐竹義重の今回の判定を引き継ぐ。太田城出生の地縁を代替とする。
佐竹義重|-|元服前|常陸国/久慈郡|佐竹義昭|実父佐竹義昭を照合。太田の家の地縁を採用し、後年の家督相続を遡及しない。
保科正貞|-|元服前|信濃国/上伊那郡|保科正直|実父保科正直を照合し、養父正光と区別。高遠周辺の家の本拠を代替配置に用いる。
内藤信正|-|元服前|三河国/*|内藤信成|実父内藤信成を照合。三河の家の出自を代替地域とし、本人の居住郡の確定とはしない。
内藤信照|-|元服前|伊豆国/田方郡|内藤信正|実父内藤信正の今回の判定を照合。韮山出生の地縁を代替配置に用いる。
内藤忠興|-|元服前|三河国/*|内藤政長|実父内藤政長の今回の判定を照合。三河の家の出自を代替地域とし、後年の磐城入封を遡及しない。
内藤政長|-|元服前|三河国/*|内藤家長|実父内藤家長を照合。三河の家の出自を代替配置の根拠とする。
内藤清成|-|元服前|三河国/額田郡|竹田宗仲|実父竹田宗仲を照合し、養父内藤忠政と区別。岡崎の出生地縁を代替に用いる。
内藤清次|-|元服前|三河国/額田郡|内藤清成|実父内藤清成を照合。父所属不明時は父の岡崎の出自を代替とし、本人の出生郡と断定しない。
前田利常|-|元服前|越中国/射水郡|前田利家|実父前田利家を照合。父所属不明時のみ守山での幼少期を代替地域とする。後年の加賀領有を1546年に持ち込まない。
前田利長|-|元服前|尾張国/愛知郡|前田利家|実父前田利家を照合。荒子の出生地縁を代替配置に用いる。
加藤嘉明|-|元服前|三河国/幡豆郡|加藤教明|実父加藤教明を照合。永良の出生地縁を採用し、後年の会津入封を遡及しない。
加藤明成|-|元服前|山城国/*|加藤嘉明|実父加藤嘉明を照合。京都出生の地縁を代替に用いる。
加藤清正|-|元服前|尾張国/愛知郡|加藤清忠|実父加藤清忠を照合。中村の出自を採用し、後年の肥後支配を遡及しない。
北条景広|-|元服前|越後国/刈羽郡|北条高広|実父北条高広を照合。越後北条氏の地縁を採用し、小田原の後北条氏と区別。
北条氏直|-|元服前|相模国/足柄下郡|北条氏政|実父北条氏政を照合。小田原の家の地縁を代替に用いる。
北条氏邦|-|元服前|相模国/足柄下郡|北条氏康|実父北条氏康を照合。生年・兄弟順位の異説は保持し、鉢形領主化を開始時に遡及しない。
